rank,mark,wind,competitor,dob,nat,pos,empty_col,venue,date,results_score
4271,10.55,+1.9,Otto AHLFORS,29 JAN 1994,FIN,1f1,,Seinäjoki (FIN),10 JUL 2019,1024
4271,10.55,-1.2,Amaury GOLITIN,28 JAN 1997,FRA,4sf1,,Gävle (SWE),11 JUL 2019,1031
4271,10.55,-0.4,Jerry JAKPA,22 MAY 1998,NGR,1,,Pordenone (ITA),12 JUL 2019,1026
4271,10.55,+1.2,Eliezer ADJIBI,2000,CAN,1sf1,,Toronto (CAN),13 JUL 2019,1024
4271,10.55,-0.7,Kazuki TAMURA,24 SEP 1998,JPN,1,,Chiba (JPN),13 JUL 2019,1028
4271,10.55,-0.7,Mahiro NEMOTO,18 AUG 1998,JPN,2,,Chiba (JPN),13 JUL 2019,1028
4271,10.55,+1.2,Amiya KUMAR MALLICK,14 NOV 1992,IND,3,,Lapinlahti (FIN),17 JUL 2019,1024
4271,10.55,0.0,Lucas ANSAH-PEPRAH,16 JAN 2000,GER,4,,Boras (SWE),19 JUL 2019,1024
4271,10.55,+1.3,Jason PARIS,19 MAR 1990,PUR,1,,"Jacksonville, FL (USA)",20 JUL 2019,1024
4271,10.55,+1.7,Tazana Mikkel KAMANGA-DYRBAK,12 JAN 2002,DEN,4,,Baku (AZE),23 JUL 2019,1024
4271,10.55,0.0,Kenroy HIGGINS,,USA,1h7,,"Sacramento, CA (USA)",25 JUL 2019,1024
4271,10.55,-1.6,Jeff DEMPS,08 JAN 1990,USA,5h4,,"Drake Stadium, Des Moines, IA (USA)",25 JUL 2019,1033
4271,10.55,+0.6,Erik KOSTRYTSYA,18 SEP 1999,UKR,2h1,,Lutsk (UKR),25 JUL 2019,1024
4271,10.55,+0.6,Štěpán HAMPL,10 NOV 1999,CZE,2h3,,Brno (CZE),26 JUL 2019,1024
4271,10.55,+1.8,Chad RICHARDS,1997,TTO,2h6,,Port-of-Spain (TTO),26 JUL 2019,1024
4271,10.55,+0.1,Cliff RESIAS,08 NOV 1996,BAH,3h1,,Nassau (BAH),26 JUL 2019,1024
4271,10.55,+1.3,Jeffrey VANAN,21 DEC 1992,SUR,2f1,,Merksem (BEL),27 JUL 2019,1024
4271,10.55,+2.0,Darrel BROWN,11 OCT 1984,TTO,5sf3,,Port-of-Spain (TTO),27 JUL 2019,1024
4271,10.55,-1.3,Kyle DE ESCOFET,04 OCT 1996,GBR,1sf1,,Manchester (GBR),27 JUL 2019,1031
4271,10.55,+0.8,Jonathan Okeudo NMAJU,09 JAN 1993,NGR,2f1,,Pamplona (ESP),27 JUL 2019,1024
4271,10.55,+2.0,Vitor Hugo DOS SANTOS,01 FEB 1996,BRA,1h1,,Rio de Janeiro (BRA),27 JUL 2019,1024
4271,10.55,+1.3,Emmanuel DAWLSON,24 AUG 1992,SWE,1h6,,Sundsvall (SWE),28 JUL 2019,1024
4271,10.55,+0.2,Shota HARA,18 JUL 1992,JPN,4f2,,Yokohama (JPN),28 JUL 2019,1024
4271,10.55,+0.3,Ioan Andrei MELNICESCU,22 JUN 1996,ROU,3,,Pitesti (ROU),30 JUL 2019,1024
4271,10.55,+1.8,Tahir WALSH,24 FEB 1994,ANT,3h2,,Montreal (CAN),31 JUL 2019,1024
4271,10.55,+0.8,Łukasz ŻAK,31 MAY 1997,POL,2f1,,Jelenia Góra (POL),01 AUG 2019,1024
4271,10.55,-0.2,Sudirman HADI,09 MAR 1996,INA,2sf2,,Cibinong (INA),01 AUG 2019,1025
4271,10.55,+1.0,Niels Torben GIESE,29 MAR 1998,GER,4h3,,Berlin (GER),03 AUG 2019,1024
4271,10.55,+1.2,Connor WASHINGTON,2003,USA,1,,"Greensboro, NC (USA)",03 AUG 2019,1024
4271,10.55,-0.1,Dominik ZÁLESKÝ,23 AUG 1995,CZE,6f1,,Bern (SUI),03 AUG 2019,1024
4271,10.55,+0.2,Yigitcan HEKIMOGLU,27 APR 1992,TUR,4f1,,Bursa (TUR),03 AUG 2019,1024
4271,10.55,+0.7,Imran RAHMAN,05 JUL 1993,GBR,2f2,,Loughborough (GBR),06 AUG 2019,1024
4271,10.55,+0.7,RJ PIERRE,24 NOV 1987,GBR,3f2,,Loughborough (GBR),06 AUG 2019,1024
4271,10.55,-1.4,Michael POHL,18 NOV 1989,GER,3,,Bydgoszcz (POL),10 AUG 2019,1032
4271,10.55,+1.8,Tahir WALSH,24 FEB 1994,ANT,6f2,,Cork City (IRL),14 AUG 2019,1024
4271,10.55,-0.9,Vinoj Suranjaya De Silva MUTHUMUNI,09 JAN 1995,SRI,1sf2,,Colombo (SRI),16 AUG 2019,1029
4271,10.55,-2.2,Sydney SIAME,07 OCT 1997,ZAM,1,,Kessel-Lo (BEL),17 AUG 2019,1037
4271,10.55,-0.2,Eugene AMO-DADZIE,,GBR,1f1,,Woodford (GBR),17 AUG 2019,1025
4271,10.55,+0.3,Ferdinand Omanyala OMURWA,03 AUG 1996,KEN,1h5,,"Nyayo National Stadium, Nairobi (KEN)",20 AUG 2019,1024
4271,10.55,+0.9,Maksym KUZIN,04 APR 1997,UKR,1h2,,Lutsk (UKR),21 AUG 2019,1024
4271,10.55,+0.1,Wenyi LUO,14 APR 1998,CHN,4,,Daqing (CHN),22 AUG 2019,1024
4271,10.55,+1.0,Confidence LAWSON,05 SEP 1990,GBR,1h5,,"Alexander Stadium, Birmingham (GBR)",24 AUG 2019,1024
4271,10.55,+0.3,Samuel PUROLA,19 MAY 2000,FIN,3,,"Olympiastadion, Stockholm (SWE)",24 AUG 2019,1024
4271,10.55,-0.1,Luis Gabriel PEREIRA SILVA,28 JUL 1994,BRA,2,,Sao Bernardo do Campo (BRA),25 AUG 2019,1024
4271,10.55,-0.6,Karabo MOTHIBI,15 OCT 1996,BOT,6sf1,,"Prince Moulay Abdellah, Rabat (MAR)",26 AUG 2019,1027
4271,10.55,+1.2,Joel JOHNSON,08 SEP 2000,BAH,2,,Nassau (BAH),30 AUG 2019,1024
4271,10.55,-0.4,Dominik KOPEĆ,05 MAR 1995,POL,1f2,,Toruń (POL),31 AUG 2019,1026
4271,10.55,+1.4,Henry NWOKE,,GBR,2,,Bedford (GBR),31 AUG 2019,1024
4271,10.55,+0.2,Tenkou MORIYAMA,1998,JPN,2h3,,"Nagaragawa Stadium, Gifu (JPN)",12 SEP 2019,1024
4271,10.55,+0.2,Shuji TAKAHASHI,17 MAY 1994,JPN,2h4,,"Nagaragawa Stadium, Gifu (JPN)",12 SEP 2019,1024
4271,10.55,+1.1,Takuya KAWAKAMI,08 JUN 1995,JPN,1h7,,"Nagai Stadium, Osaka (JPN)",21 SEP 2019,1024
4271,10.55,0.0,Kotaro TANIGUCHI,03 NOV 1994,JPN,5sf1,,"Nagai Stadium, Osaka (JPN)",21 SEP 2019,1024
4271,10.55,-0.1,Soshi MIZUKUBO,01 MAR 1999,JPN,7,,"Prefectural Kasamatsu Stadium, Hitachinaka (JPN)",05 OCT 2019,1024
4473,10.56,+1.2,Sibusiso MATSENJWA,02 MAY 1988,SWZ,1f1,,Pretoria (RSA),26 JAN 2019,1021
4473,10.56,+1.0,Jose Luis GASPAR,25 AUG 1995,CUB,6f1,,Camagüey (CUB),22 FEB 2019,1021
4473,10.56,+1.2,Jonathan NYEPA,26 MAR 1996,MAS,1h1,,Ipoh (MAS),23 FEB 2019,1021
4473,10.56,+1.5,Isaac NTIAMOAH,27 OCT 1982,AUS,1f1,,Sydney (AUS),02 MAR 2019,1021
4473,10.56,-1.9,Diab DAVIS,07 SEP 1998,USA,1f1,,"Berkeley, CA (USA)",02 MAR 2019,1032
4473,10.56,+0.7,Aaron BRESLAND,04 JUL 1994,AUS,1f1,,Perth (AUS),07 MAR 2019,1021
4473,10.56,+1.4,Matthew RIZZO,10 OCT 1998,AUS,3sf1,,Sydney (AUS),09 MAR 2019,1021
4473,10.56,+0.2,Tayvian CUNNINGHAM,,USA,1,,"Chico, CA (USA)",09 MAR 2019,1021
4473,10.56,+1.1,Brandon SMILEY,05 OCT 1999,USA,2f4,,"Mobile, AL (USA)",15 MAR 2019,1021
4473,10.56,+0.4,Ali Khalid MAS,19 APR 2002,KSA,1,,Hong Kong (HKG),16 MAR 2019,1021
4473,10.56,+0.8,Enrique POLANCO,11 AUG 1992,CHI,1,,Santiago de Chile (CHI),16 MAR 2019,1021
4473,10.56,-0.3,Keenan MICHAU,17 JAN 1995,RSA,3,,Pretoria (RSA),16 MAR 2019,1022
4473,10.56,+0.8,Emile ERASMUS,03 APR 1992,RSA,1h4,,Pretoria (RSA),16 MAR 2019,1021
4473,10.56,+1.8,Taylor BANKS,2000,USA,1h1,,"Fort Lauderdale, FL (USA)",22 MAR 2019,1021
4473,10.56,+1.8,Steve TAYLOR,,USA,1f2,,"San Diego, CA (USA)",22 MAR 2019,1021
4473,10.56,+0.4,Terence WARE,1998,USA,3,,"Houston, TX (USA)",23 MAR 2019,1021
4473,10.56,+1.7,Paul GORE,,USA,1f2,,"High Point, NC (USA)",23 MAR 2019,1021
4473,10.56,+1.5,Kritsada NAMSUWAN,09 FEB 1994,THA,4f2,,"Orlando, FL (USA)",23 MAR 2019,1021
4473,10.56,+1.6,Daniel SEAWRIGHT,,USA,2,,"Charleston, SC (USA)",23 MAR 2019,1021
4473,10.56,+0.6,Antonio RODRÍGUES,12 JAN 1993,BRA,5f1,,Bragança Paulista (BRA),23 MAR 2019,1021
4473,10.56,+1.6,Sifiso MIYA,01 JUN 2001,RSA,3sf3,,Paarl (RSA),28 MAR 2019,1021
4473,10.56,0.0,Kirara SHIRAISHI,31 MAY 1996,JPN,1h3,,Singapore (SGP),29 MAR 2019,1021
4473,10.56,+0.1,Yi-Ching WEI,05 JUL 1998,TPE,6,,Kuala Lumpur (MAS),30 MAR 2019,1021
4473,10.56,+0.5,P.J. LOTHARP,,USA,2f1,,"Montreat, NC (USA)",30 MAR 2019,1021
4473,10.56,+1.4,Matteo MELLUZZO,29 JUL 2002,ITA,1f1,,Siracusa (ITA),31 MAR 2019,1021
4473,10.56,-0.5,Kukyoung KIM,19 APR 1991,KOR,h3,,Sydney (AUS),05 APR 2019,1024
4473,10.56,-2.4,Jirapong MEENAPRA,05 NOV 1993,THA,4f1,,"Jacksonville, FL (USA)",05 APR 2019,1035
4473,10.56,-0.7,Usheoritse ITSEKIRI,31 JAN 1998,NGR,1h7,,Ijebu Ode (NGR),05 APR 2019,1025
4473,10.56,-1.4,Mehdi TAKORDMIOUI,03 AUG 1995,MAR,3,,Cairo (EGY),05 APR 2019,1029
4473,10.56,+1.5,Spenser SCHMIDT,,USA,2f1,,"Tempe, AZ (USA)",06 APR 2019,1021
4473,10.56,+1.3,Marcus REAVES,1996,USA,2f4,,"Tempe, AZ (USA)",06 APR 2019,1021
4473,10.56,+0.6,Luis Gabriel PEREIRA SILVA,28 JUL 1994,BRA,2h2,,Sao Paulo (BRA),06 APR 2019,1021
4473,10.56,+0.6,Melvin JOHNSON,,USA,1f1,,"Commerce, TX (USA)",11 APR 2019,1021
4473,10.56,+1.4,Darryl GAY,27 OCT 1997,USA,5f1,,"Tuscaloosa, AL (USA)",12 APR 2019,1021
4473,10.56,+1.5,Kundai MAGURANYANGA,17 MAY 1998,ZIM,5f3,,"Fayetteville, AR (USA)",12 APR 2019,1021
4473,10.56,+0.1,Andre MORRISON,12 NOV 1998,JAM,4,,Kingston (JAM),12 APR 2019,1021
4473,10.56,+1.4,Yingrui QUAN,18 NOV 1997,CHN,3,,Huangshi (CHN),12 APR 2019,1021
4473,10.56,+0.3,Luke DAVIDS,17 JUL 2001,RSA,2sf2,,Abidjan (CIV),17 APR 2019,1021
4473,10.56,+1.4,Alexander DONIGIAN,20 OCT 1993,USA,3h1,,"Torrance, CA (USA)",19 APR 2019,1021
4473,10.56,+1.4,Diab DAVIS,07 SEP 1998,USA,3h1,,"Torrance, CA (USA)",19 APR 2019,1021
4473,10.56,+1.1,Josh DAVIS,13 OCT 1995,USA,1h5,,"Torrance, CA (USA)",19 APR 2019,1021
4473,10.56,+1.0,Darien PORTER,1998,USA,5f1,,"Long Beach, CA (USA)",20 APR 2019,1021
4473,10.56,-0.8,Oblique SEVILLE,16 MAR 2001,JAM,1h3,,Georgetown (CAY),20 APR 2019,1025
4473,10.56,+1.1,Tyrin LEWIS,,USA,5f1,,"Canyon, TX (USA)",20 APR 2019,1021
4473,10.56,+1.9,Evan MILLER,2000,USA,3f1,,"Columbia, SC (USA)",20 APR 2019,1021
4473,10.56,+1.5,Ryota SUZUKI,25 JUN 1999,JPN,5h1,,Izumo (JPN),21 APR 2019,1021
4473,10.56,+1.2,Hassan SAAID,04 MAR 1992,MDV,6sf1,,Doha (QAT),22 APR 2019,1021
4473,10.56,+1.4,Eric CRAY,06 NOV 1988,PHI,6sf2,,Doha (QAT),22 APR 2019,1021
4473,10.56,-0.3,Chederick VAN WYK,18 FEB 1995,RSA,3h1,,Germiston (RSA),25 APR 2019,1022
4473,10.56,+1.1,Lesego MOTLATLA,28 FEB 1995,RSA,6sf2,,Germiston (RSA),25 APR 2019,1021
4473,10.56,+2.0,Rebeilwe THWANYANE,27 JUL 1993,BOT,4f2,,Gaborone (BOT),27 APR 2019,1021
4473,10.56,+0.1,Curtis THOMAS,27 JAN 1998,USA,5f4,,"Gainesville, FL (USA)",27 APR 2019,1021
4473,10.56,-0.2,Marquett SIMMONS,1994,USA,2,,"Central, SC (USA)",27 APR 2019,1022
4473,10.56,+2.0,Ippei TAKEDA,13 MAR 1997,JPN,7h3,,Hiroshima (JPN),28 APR 2019,1021
4473,10.56,+1.4,Yueh-Chun SUNG,19 OCT 1997,TPE,2h5,,Chiayi (TPE),29 APR 2019,1021
4473,10.56,+1.3,Yueh-Chun SUNG,19 OCT 1997,TPE,2sf3,,Chiayi (TPE),29 APR 2019,1021
4473,10.56,+1.3,Lance LANG,,USA,4f2,,"Fayetteville, AR (USA)",03 MAY 2019,1021
4473,10.56,-0.4,Kwabena LYNN,,USA,2,,"Beaverton, OR (USA)",03 MAY 2019,1023
4473,10.56,+1.1,Justin FREEMAN,,USA,1,,"Holland, MI (USA)",03 MAY 2019,1021
4473,10.56,-0.1,Simang'aliso NDHLOVU,19 JAN 1999,ZAM,2h1,,"Princeton, NJ (USA)",04 MAY 2019,1021
4473,10.56,+0.9,Zachary MENCHACA,,USA,1h2,,"Princeton, NJ (USA)",04 MAY 2019,1021
4473,10.56,+1.5,Andrew LEUTHNER,1996,USA,1h2,,"Natchitoches, LA (USA)",04 MAY 2019,1021
4473,10.56,+1.2,Kimihiko OKUBO,23 AUG 1997,JPN,1h4,,Mito (JPN),05 MAY 2019,1021
4473,10.56,+0.1,Tsuyoshi TSUTSUMI,18 JUL 1997,JPN,4,,Osaka (JPN),06 MAY 2019,1021
4473,10.56,-0.1,Naoki UEMOTO,20 DEC 1998,JPN,3sf2,,Kyoto (JPN),10 MAY 2019,1021
4473,10.56,-0.1,Jacolby SHELTON,,USA,4h2,,"Norman, OK (USA)",11 MAY 2019,1021
4473,10.56,+0.3,Isaiah CUNNINGHAM,,USA,9,,"Norman, OK (USA)",12 MAY 2019,1021
4473,10.56,+0.4,Justin FREEMAN,,USA,2f3,,"Naperville, IL (USA)",16 MAY 2019,1021
4473,10.56,+0.9,Yan C. HERNÁNDEZ,20 JUN 2000,CUB,1ce,,La Habana (CUB),17 MAY 2019,1021
4473,10.56,+1.3,TJ LAWRENCE,26 FEB 1991,CAN,7h6,,Windsor (CAN),18 MAY 2019,1021
4473,10.56,+0.4,Everton CLARKE,24 DEC 1992,JAM,2f4,,Kingston (JAM),18 MAY 2019,1021
4473,10.56,+1.0,Michael OLSEN,22 MAR 1999,GBR,2f2,,Loughborough (GBR),19 MAY 2019,1021
4473,10.56,-0.3,Jinsheng LIANG,12 JAN 1996,CHN,1h7,,Jinhua (CHN),22 MAY 2019,1022
4473,10.56,-1.0,Yang YANG,26 JUN 1991,CHN,1h9,,Jinhua (CHN),22 MAY 2019,1027
4473,10.56,-0.3,Quincy MITCHELL,11 AUG 2000,USA,5h1,,"Jacksonville, FL (USA)",23 MAY 2019,1022
4473,10.56,-1.2,Terrell POSADA,,USA,5h4,,"Jacksonville, FL (USA)",23 MAY 2019,1028
4473,10.56,+1.6,Tsuyoshi TSUTSUMI,18 JUL 1997,JPN,4h2,,Sagamihara (JPN),23 MAY 2019,1021
4473,10.56,+1.6,Jordan LEVERETTE,,USA,2h2,,"Geneva, OH (USA)",24 MAY 2019,1021
4473,10.56,+0.8,Oliver BROMBY,30 MAR 1998,GBR,4h2,,Rieti (ITA),24 MAY 2019,1021
4473,10.56,-0.9,Jhony RENTERIA,26 MAR 1997,COL,4,,Lima (PER),24 MAY 2019,1026
4473,10.56,-0.9,Emanuel ARCHIBALD,09 SEP 1994,GUY,5,,Lima (PER),24 MAY 2019,1026
4473,10.56,+1.8,Tyler WILLIAMS,,USA,3h4,,"Gulf Shores, AL (USA)",24 MAY 2019,1021
4473,10.56,+1.1,Lindon VICTOR,23 FEB 1993,GRN,2ce5,,"Mösle-Stadium, Götzis (AUT)",25 MAY 2019,1021
4473,10.56,-0.2,Marcus LAWLER,28 FEB 1995,IRL,1f2,,Oordegem (BEL),25 MAY 2019,1022
4473,10.56,+1.0,Everton CLARKE,24 DEC 1992,JAM,2f7,,Kingston (JAM),25 MAY 2019,1021
4473,10.56,+0.7,Roelf BOUWMEESTER,09 DEC 1997,NED,6f4,,Weinheim (GER),25 MAY 2019,1021
4473,10.56,+0.8,Oleksandr SOKOLOV,06 DEC 1997,UKR,1h2,,Kropyvnytskiy (UKR),25 MAY 2019,1021
4473,10.56,+0.7,Frederico CURVELO,11 JUL 1997,POR,5f1,,Maia (POR),29 MAY 2019,1021
4473,10.56,-0.4,Dajun XUAN,02 JAN 1998,CHN,1h13,,Luoyang (CHN),29 MAY 2019,1023
4473,10.56,0.0,Ismael DIOP,10 DEC 1992,FRA,6f1,,Oordegem (BEL),01 JUN 2019,1021
4473,10.56,0.0,Tobi OGUNKANMI,04 MAY 2001,GBR,1,,Bedford (GBR),02 JUN 2019,1021
4473,10.56,+1.1,Seunghwan KO,14 NOV 1997,KOR,2h2,,Gwangju (KOR),06 JUN 2019,1021
4473,10.56,+2.0,Alexandr KASPER,09 FEB 1994,KAZ,5,,Chongqing (CHN),07 JUN 2019,1021
4473,10.56,+0.3,Jamie Steve Dave	 ABE,15 MAR 1998,ITA,2,,Rieti (ITA),07 JUN 2019,1021
4473,10.56,+0.9,Patrick Ike CHINEDU,26 APR 1984,ESP,3h1,,Salamanca (ESP),08 JUN 2019,1021
4473,10.56,+0.9,Pedro José LÓPEZ,26 MAY 1995,ESP,4h1,,Salamanca (ESP),08 JUN 2019,1021
4473,10.56,-0.7,Marvin RENÉ,11 APR 1995,FRA,2h4,,Cergy-Pontoise (FRA),10 JUN 2019,1025
4473,10.56,-0.1,Ebrima CAMARA,18 SEP 1996,GAM,1h5,,Cergy-Pontoise (FRA),10 JUN 2019,1021
4473,10.56,+1.9,Charles NIESEN,12 MAR 1994,BEL,4f2,,Tilburg (NED),10 JUN 2019,1021
4473,10.56,0.0,Jeremy LEROUX,10 SEP 1994,FRA,1h1,,Aix-en-Provence (FRA),12 JUN 2019,1021
4473,10.56,0.0,Daniel HOFFMANN,06 MAR 1995,GER,5f2,,Dessau (GER),14 JUN 2019,1021
4473,10.56,-0.3,Rechmial MILLER,27 JUN 1998,GBR,5h1,,Dessau (GER),14 JUN 2019,1022
4473,10.56,+1.4,Philipp CORUCLE,1997,GER,4sf1,,Wetzlar (GER),15 JUN 2019,1021
4473,10.56,+1.0,Deven BROWN,,USA,3,,"Seattle, WA (USA)",15 JUN 2019,1021
4473,10.56,+0.3,Lucas RODRIGUES DA SILVA,05 JUL 2001,BRA,1h2,,Cali (COL),15 JUN 2019,1021
4473,10.56,+0.2,Henricke CLERINETTE,25 JUN 1998,FRA,2,,Baie Mahault (FRA),15 JUN 2019,1021
4473,10.56,+1.3,O'dain ROSE,19 JUL 1992,SWE,7f1,,Sollentuna (SWE),18 JUN 2019,1021
4473,10.56,-1.0,Tazana Mikkel KAMANGA-DYRBAK,12 JAN 2002,DEN,4,,Copenhagen (DEN),18 JUN 2019,1027
4473,10.56,-0.7,Ryan ZEZE,29 JAN 1998,FRA,2f1,,Bonneuil-sur-Marne (FRA),18 JUN 2019,1025
4473,10.56,-0.3,Jeffrey JOHN,06 JUN 1992,FRA,1h3,,Bonneuil-sur-Marne (FRA),18 JUN 2019,1022
4473,10.56,+0.7,Pablo MONTALVO,20 OCT 1999,ESP,1,,Gandía (ESP),19 JUN 2019,1021
4473,10.56,+0.4,Abdu Ahmed MARZOUQ,16 FEB 2000,KSA,1f1,,"Mestský Stadion, Ostrava (CZE)",20 JUN 2019,1021
4473,10.56,+1.7,Marcos Aurelio ALVES MACHADO,30 APR 1991,BRA,1,,Goiania (BRA),20 JUN 2019,1021
4473,10.56,-0.6,Roy SCHMIDT,30 SEP 1991,GER,2h1,,Zeulenroda (GER),21 JUN 2019,1024
4473,10.56,+0.7,Robert HERING,14 JUN 1990,GER,1h2,,Zeulenroda (GER),21 JUN 2019,1021
4473,10.56,+0.5,Vashaun VASCIANNA,29 OCT 2002,JAM,3,,Kingston (JAM),21 JUN 2019,1021
4473,10.56,-0.4,Oleksandr SOKOLOV,06 DEC 1997,UKR,1,,Kropyvnytskiy (UKR),22 JUN 2019,1023
4473,10.56,+0.6,Norihito NEGISHI,02 JUN 1992,JPN,4,,Chiba (JPN),22 JUN 2019,1021
4473,10.56,+1.5,Andre MARCANO,27 MAR 1986,TTO,1h1,,"Hightstown, NJ (USA)",23 JUN 2019,1021
4473,10.56,+2.0,Umut UYSAL,04 MAR 2002,TUR,1h10,,Bursa (TUR),24 JUN 2019,1021
4473,10.56,-0.1,Gafaru AUDU,15 APR 1997,NGR,2sf2,,Abuja (NGR),25 JUN 2019,1021
4473,10.56,+0.6,Dániel SZABÓ,24 MAY 1997,HUN,15,,Minsk (BLR),26 JUN 2019,1021
4473,10.56,-0.6,Masafumi NAOKI,19 NOV 1993,JPN,5h5,,Fukuoka (JPN),27 JUN 2019,1024
4473,10.56,+0.2,Davide MANENTI,16 APR 1989,ITA,4,,Nembro (ITA),28 JUN 2019,1021
4473,10.56,-0.7,Chederick VAN WYK,18 FEB 1995,RSA,1h2,,Nembro (ITA),28 JUN 2019,1025
4473,10.56,+0.4,Andrea FEDERICI,24 FEB 1997,ITA,1h5,,Nembro (ITA),28 JUN 2019,1021
4473,10.56,+1.1,William REPPERT,26 MAR 1999,FRA,5sf1,,Chateauroux (FRA),29 JUN 2019,1021
4473,10.56,+0.7,Alexandre BRUNO,13 JUN 1999,FRA,5sf2,,Chateauroux (FRA),29 JUN 2019,1021
4473,10.56,-0.7,Lucas ANSAH-PEPRAH,16 JAN 2000,GER,2f1,,Mannheim (GER),29 JUN 2019,1025
4473,10.56,+0.3,Conor MOREY,12 MAY 2001,IRL,2f2,,Mannheim (GER),29 JUN 2019,1021
4473,10.56,-0.8,Lucas ANSAH-PEPRAH,16 JAN 2000,GER,1h4,,Mannheim (GER),29 JUN 2019,1025
4473,10.56,+1.3,Matej BALUCH,16 OCT 2000,SVK,1,,Trnava (SVK),29 JUN 2019,1021
4473,10.56,-1.1,Konstantinos ZIKOS,24 APR 1998,GRE,1f2,,Larisa (GRE),29 JUN 2019,1027
4473,10.56,+0.7,Ryan MARTIN,21 SEP 2001,USA,3,,"Palo Alto, CA (USA)",30 JUN 2019,1021
4473,10.56,+1.4,Lorenzo IANES,23 OCT 2000,ITA,5f3,,La Chaux-de-Fonds (SUI),30 JUN 2019,1021
4473,10.56,+1.4,Dominique ZWIEP,14 JUL 1999,NED,6f3,,La Chaux-de-Fonds (SUI),30 JUN 2019,1021
4473,10.56,-0.1,Marcus LAWLER,28 FEB 1995,IRL,2h3,,La Chaux-de-Fonds (SUI),30 JUN 2019,1021
4473,10.56,-0.8,Sydney SIAME,07 OCT 1997,ZAM,7h1,,Marseille (FRA),02 JUL 2019,1025
4473,10.56,+0.3,Aymeric PRIAM,22 JUN 2000,FRA,2f1,,Angers (FRA),05 JUL 2019,1021
4473,10.56,+1.2,Dedric DUKES,04 FEB 1992,USA,2h4,,"Montverde, FL (USA)",06 JUL 2019,1021
4473,10.56,+0.9,Ayodele TAFFE,13 SEP 1994,TTO,5,,Georgetown (GUY),06 JUL 2019,1021
4473,10.56,+0.5,Sylvain CHUARD,12 MAR 1996,SUI,4h1,,Bulle (SUI),07 JUL 2019,1021
4473,10.56,+0.5,Nathan GILBERT,02 MAR 1995,GBR,4h1,,Bulle (SUI),07 JUL 2019,1021
4473,10.56,-0.2,Wei-Hsu WANG,12 OCT 1996,TPE,2h3,,Napoli (ITA),08 JUL 2019,1022
4473,10.56,-0.2,Siripol PUNPA,09 SEP 1999,THA,7sf3,,Napoli (ITA),09 JUL 2019,1022
4473,10.56,-1.4,Kevin KRANZ,20 JUN 1998,GER,2sf2,,Gävle (SWE),11 JUL 2019,1029
4473,10.56,0.0,Guy MAGANGA GORRA,18 MAR 1993,GAB,2f1,,Bron (FRA),11 JUL 2019,1021
4473,10.56,-0.3,Churandy MARTINA,03 JUL 1984,NED,6f1,,Weinheim (GER),12 JUL 2019,1022
4473,10.56,+0.8,Kyle ENNIS,09 AUG 1991,GBR,3f1,,Paderborn (GER),13 JUL 2019,1021
4473,10.56,+0.2,Lucanus ROBINSON,12 MAR 1996,CAN,4,,Toronto (CAN),13 JUL 2019,1021
4473,10.56,+0.2,TJ LAWRENCE,26 FEB 1991,CAN,5,,Toronto (CAN),13 JUL 2019,1021
4473,10.56,-0.7,Desmond LAWRENCE,19 DEC 1991,USA,2f3,,"Decatur, IL (USA)",13 JUL 2019,1025
4473,10.56,+1.0,Daisuke SAITO,05 JUL 1997,JPN,1sf2,,Niigata (JPN),13 JUL 2019,1021
4473,10.56,-0.8,Kelvin Tuiala MASOE,1999,SAM,3,,Apia (SAM),16 JUL 2019,1025
4473,10.56,-0.9,Jeremiah AZU,15 MAY 2001,GBR,1h4,,Boras (SWE),18 JUL 2019,1026
4473,10.56,+0.6,Yousef KARAM,15 JUL 1993,KUW,3f3,,Celle Ligure (ITA),18 JUL 2019,1021
4473,10.56,+1.6,Roger GURSKI,11 JUL 1997,GER,3h1,,Mannheim (GER),19 JUL 2019,1021
4473,10.56,+1.8,Alexander KOSENKOW,14 MAR 1977,GER,5f2,,Rhede (GER),20 JUL 2019,1021
4473,10.56,+1.7,Andre COSTA,09 MAY 1992,POR,6,,Lisboa (POR),20 JUL 2019,1021
4473,10.56,+1.4,Marek NIIT,09 AUG 1987,EST,1f3,,Pärnu (EST),21 JUL 2019,1021
4473,10.56,+0.9,Patrick Ike CHINEDU,26 APR 1984,ESP,3,,Castellón (ESP),23 JUL 2019,1021
4473,10.56,+0.9,Adrian OLMOS,04 APR 1994,ESP,4,,Castellón (ESP),23 JUL 2019,1021
4473,10.56,-0.3,Aleksey USOV,24 FEB 1998,RUS,3,,Cheboksary (RUS),24 JUL 2019,1022
4473,10.56,-1.6,Devin QUINN,08 JUN 1996,USA,6h4,,"Drake Stadium, Des Moines, IA (USA)",25 JUL 2019,1030
4473,10.56,+1.0,Ihor BODROV,09 JUL 1987,UKR,4,,Lutsk (UKR),25 JUL 2019,1021
4473,10.56,-1.7,Alaba Olukunle AKINTOLA,14 SEP 2001,NGR,6,,Kaduna (NGR),25 JUL 2019,1031
4473,10.56,-3.7,Cordero GRAY,09 MAY 1989,USA,7sf1,,"Drake Stadium, Des Moines, IA (USA)",26 JUL 2019,1043
4473,10.56,+1.1,Francis MOLANGO,1992,CAN,5sf1,,Montreal (CAN),26 JUL 2019,1021
